Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
April 2025,,5.00 X 2.60,5.0,2.6,Cotton,0.65,---,0.65,Aluminium,91.8,93.4,1.6,0.5,1.74291939,14
June 2025,,5.00 X 2.60,5.0,2.6,Cotton,0.65,---,0.65,Aluminium,---,112.3,#VALUE!,---,#VALUE!,90
August 2025,,5.00 X 2.60,5.0,2.6,Cotton,0.65,---,0.65,Aluminium,109.7,125.3,15.6,0.9,14.22060164,178
June 2025,,6.00 X 3.00,6.0,3.0,Cotton,0.65,---,0.65,Aluminium,---,162.4,#VALUE!,---,#VALUE!,88
July 2025,,6.00 X 3.00,6.0,3.0,Cotton,0.65,---,0.65,Aluminium,771,827.6,56.6,16,7.341115435,133/149/158
April 2025,,7.00 X 2.70,7.0,2.7,Cotton,0.65,---,0.65,Aluminium,99.95,108.8,8.85,0.5,8.854427214,14
August 2025,,7.00 X 2.70,7.0,2.7,Cotton,0.65,---,0.65,Aluminium,---,266.4,#VALUE!,--,#VALUE!,230
August 2025,,7.00 X 2.70,7.0,2.7,Cotton,0.65,---,0.65,Aluminium,58.1,64.8,6.7,14.9,11.53184165,230
June 2025,,7.00 X 4.00,7.0,4.0,Cotton,0.65,---,0.65,Aluminium,108.1,119.7,11.6,0.9,10.73080481,104
April 2025,,8.00 X 4.00,8.0,4.0,Cotton,0.65,---,0.65,Aluminium,236.9,254.7,17.8,1.5,7.513718869,14
June 2025,,8.00 X 4.00,8.0,4.0,Cotton,0.65,---,0.65,Aluminium,195.5,225.9,30.4,1.7,15.54987212,108
August 2025,,8.00 X 4.00,8.0,4.0,Cotton,0.65,---,0.65,Aluminium,191.7,208.6,16.9,0.9,8.815858112,172/178
August 2025,,8.00 X 4.00,8.0,4.0,Cotton,0.65,---,0.65,Aluminium,284.5,309.5,25,4.5,8.787346221,210
August 2025,,8.00 X 4.00,8.0,4.0,Cotton,0.65,---,0.65,Aluminium,92.6,101.6,9,0.3,9.719222462,230
June 2025,,9.00 X 5.00,9.0,5.0,Cotton,0.65,---,0.65,Aluminium,72.65,78.2,5.55,1.15,7.639366827,104
August 2025,,9.20 X 5.00,9.2,5.0,Cotton,0.65,---,0.65,Aluminium,112.75,124.6,11.85,1.25,10.50997783,178
August 2025,,9.20 X 5.00,9.2,5.0,Cotton,0.65,---,0.65,Aluminium,97.4,106.4,9,1.7,9.240246407,210
August 2025,,9.20 X 5.00,9.2,5.0,Cotton,0.65,---,0.65,Aluminium,13.52,14.5,0.98,0.48,7.24852071,230
June 2025,,12.00 X 5.00,12.0,5.0,Cotton,0.65,---,0.65,Aluminium,374.8,395,20.2,3.5,5.389541089,88
August 2025,,12.00 X 5.00,12.0,5.0,Cotton,0.65,---,0.65,Aluminium,230.3,243.4,13.1,8.2,5.68823274,174
August 2025,,12.00 X 5.00,12.0,5.0,Cotton,0.65,---,0.65,Aluminium,101.2,109,7.8,0.6,7.707509881,210
August 2025,,12.00 X 5.00,12.0,5.0,Cotton,0.65,---,0.65,Aluminium,142.8,153.4,10.6,2.4,7.422969188,217
October 2025,,12.00 X 5.00,12.0,5.0,Cotton,0.65,---,0.65,Aluminium,465.9,479.3,13.4,4,2.876153681,247
June 2025,,12.00 X 6.00,12.0,6.0,Cotton,0.65,---,0.65,Aluminium,102,110.3,8.3,15.2,8.137254902,104
