Month,Covering_No,Size,Wire_Value,Wire_Unit,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
November 2025,,0 SWG,0,SWG,Cotton,0.65,---,0.65,Aluminium,---,66.2,#VALUE!,---,#VALUE!,316
June 2025,,0 SWG,0,SWG,Cotton,0.65,---,0.65,Aluminium,20,21.8,1.8,0.5,9,78
October 2025,,0 SWG,0,SWG,Cotton,0.65,---,0.65,Aluminium,103,109.4,6.4,1,6.213592233,270
April 2025,,1 SWG,1,SWG,Cotton,0.65,---,0.65,Aluminium,54.6,57.1,2.5,0.5,4.578754579,25
November 2025,,1 SWG,1,SWG,Cotton,0.65,---,0.65,Aluminium,---,93.7,#VALUE!,---,#VALUE!,314
July 2025,,1 SWG,1,SWG,Cotton,0.65,---,0.65,Aluminium,48.7,53.8,5.1,0.9,10.47227926,131
July 2025,,2 SWG,2,SWG,Cotton,0.65,---,0.65,Aluminium,47.9,52.2,4.3,0.7,8.977035491,131
August 2025,,2 SWG,2,SWG,Cotton,0.65,---,0.65,Aluminium,100.6,111.5,10.9,1.3,10.83499006,222
June 2025,,2 SWG,2,SWG,Cotton,0.65,---,0.65,Aluminium,102.2,110.4,8.2,0.3,8.023483366,78
October 2025,,2 SWG,2,SWG,Cotton,0.65,---,0.65,Aluminium,146.4,158.4,12,---,8.196721311,270
November 2025,,3 SWG,3,SWG,Cotton,0.65,---,0.65,Aluminium,32.2,35.1,2.9,0.15,9.00621118,314
October 2025,,4 SWG,4,SWG,Cotton,0.65,---,0.65,Aluminium,42.2,46.8,4.6,9.6,10.90047393,270
June 2025,,4 SWG,4,SWG,Cotton,0.65,---,0.65,Aluminium,99.5,108,8.5,0.4,8.542713568,78
June 2025,,5 SWG,5,SWG,Cotton,0.65,---,0.65,Aluminium,34.9,36.8,1.9,0.95,5.444126074,78
November 2025,,5 SWG,5,SWG,Cotton,0.65,---,0.65,Aluminium,32.2,34.9,2.7,0.2,8.385093168,314
July 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Aluminium,31.7,34.6,2.9,---,9.148264984,131
July 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Aluminium,176.3,188.9,12.6,1.7,7.146908678,115
April 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Aluminium,32.8,36.1,3.3,0.2,10.06097561,25
June 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Aluminium,32.2,35.2,3,0.7,9.316770186,78
July 2025,,9 SWG,9,SWG,Cotton,0.65,---,0.65,Aluminium,21.9,24.6,2.7,---,12.32876712,131
August 2025,,10 SWG,10,SWG,Cotton,0.65,---,0.65,Aluminium,86.9,101.7,14.8,0.9,17.0310702,230
August 2025,,10 SWG,10,SWG,Cotton,0.65,---,0.65,Aluminium,443.9,532.5,88.6,4.3,19.95945033,172/178/201
April 2025,,10 SWG,10,SWG,Cotton,0.65,---,0.65,Aluminium,233.5,262.3,28.8,1.85,12.33404711,14
June 2025,,10 SWG,10,SWG,Cotton,0.65,---,0.65,Aluminium,180.2,215.9,35.7,---,19.81132075,105
