Month,Covering_No,Size,Wire_Value,Wire_Unit,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
April 2025,,2 SWG,2,SWG,Cotton,0.65,---,0.65,Copper,70.1,75.2,5.1,1.9,7.27532097,25
June 2025,,4 SWG,4,SWG,Cotton,0.65,---,0.65,Copper,63.7,65.5,1.8,0.5,2.825745683,82
June 2025,,5 SWG,5,SWG,Cotton,0.65,---,0.65,Copper,49.3,50.3,1,0.5,2.028397566,82
October 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Copper,123.1,129.5,6.4,0.9,5.199025183,262
August 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Copper,61.2,61.8,0.6,0.3,0.9803921569,235
November 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Copper,243,248.6,5.6,1,2.304526749,312
July 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Copper,---,127,#VALUE!,---,#VALUE!,147
April 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Copper,190.7,199,8.3,0.9,4.352385947,10
June 2025,,6 SWG,6,SWG,Cotton,0.65,---,0.65,Copper,50.3,51.5,1.2,---,2.385685885,82
June 2025,,7 SWG,7,SWG,Cotton,0.65,---,0.65,Copper,49.4,50.6,1.2,0.7,2.429149798,82
April 2025,,8 SWG,8,SWG,Cotton,0.65,---,0.65,Copper,67.3,72.9,5.6,0.5,8.320950966,25
May 2025,,8 SWG,8,SWG,Cotton,0.65,---,0.65,Copper,185.3,192.7,7.4,2,3.993524015,66
June 2025,,8 SWG,8,SWG,Cotton,0.65,---,0.65,Copper,52.6,54,1.4,0.3,2.661596958,82
August 2025,,8 SWG,8,SWG,Cotton,0.65,---,0.65,Copper,177.3,184.2,6.9,2,3.891708968,167
June 2025,,8 SWG,8,SWG,Cotton,0.65,---,0.65,Copper,98.2,103.7,5.5,0.3,5.600814664,89
August 2025,,8 SWG,8,SWG,Cotton,0.65,---,0.65,Copper,180.75,189.9,9.15,0.7,5.062240664,235
June 2025,,9 SWG,9,SWG,Cotton,0.65,---,0.65,Copper,54.8,56.8,2,---,3.649635036,82
November 2025,,10 SWG,10,SWG,Cotton,0.65,---,0.65,Copper,---,300.8,#VALUE!,---,#VALUE!,279
