Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
August 2025,,5.00 X 2.00,5.0,2.0,DFG,0.50-.55,---,0.50-.55,Aluminium,91.7,108.1,16.4,,17.88440567,162
September Month 2025,15,5.00 X 2.50,5.0,2.5,DFG,0.5,---,0.5,Aluminium,---,102.8,#VALUE!,---,#VALUE!,219
August 2025,,5.00 X 2.60,5.0,2.6,DFG,0.50-.58,---,0.50-.58,Aluminium,89.5,110,20.5,0.4,22.90502793,192
September Month 2025,13,5.00 X 2.60,5.0,2.6,DFG,0.5,---,0.5,Aluminium,---,70.6,---,---,#VALUE!,217
September Month 2025,16,5.00 X 2.60,5.0,2.6,DFG,0.5,---,0.5,Aluminium,---,71.6,#VALUE!,---,#VALUE!,220
May Month 2025,14,5.00 X 3.00,5.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,105.1,119.5,14.4,1.1,13.70123692,60
July Month 2025,,5.00 X 3.00,5.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,43.8,49.1,5.3,---,12.10045662,139
July Month 2025,,5.00 X 3.00,5.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,40.7,44.3,3.6,0.7,8.845208845,143
August 2025,,5.00 X 3.00,5.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,54.2,62.4,8.2,0.2,15.12915129,174
August 2025,,5.00 X 3.00,5.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,87.8,102.1,14.3,0.8,16.28701595,175
September Month 2025,7,5.20 X 1.80,5.2,1.8,DFG,0.5,---,0.5,Aluminium,184.1,224.9,40.8,2.1,22.16186855,208
October Month 2025,26,5.20 X 1.80,5.2,1.8,DFG,0.5,---,0.5,Aluminium,---,108.2,#VALUE!,---,#VALUE!,266
August 2025,,6.00 X 2.00,6.0,2.0,DFG,0.50-.55,---,0.50-.55,Aluminium,75.7,86.4,10.7,0.2,14.1347424,164
July Month 2025,,6.00 X 3.00,6.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,46.9,51.5,4.6,0.4,9.808102345,139
August 2025,,6.00 X 3.00,6.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,114.9,132.8,17.9,1.1,15.57876414,175
August 2025,,6.00 X 3.50,6.0,3.5,DFG,0.50-.55,---,0.50-.55,Aluminium,89.2,102.1,12.9,2.1,14.46188341,175
September Month 2025,2,6.00 X 4.00,6.0,4.0,DFG,0.5,---,0.5,Aluminium,126.1,144.2,18.1,9.9,14.35368755,206
October Month 2025,23,6.00 X 4.00,6.0,4.0,DFG,0.5,---,0.5,Aluminium,523.83,593,69.17,13.62,13.20466564,256/260/268
September Month 2025,6,6.80 X 1.90,6.8,1.9,DFG,0.5,---,0.5,Aluminium,173.2,213.5,40.3,---,23.26789838,208
October Month 2025,25,6.80 X 1.90,6.8,1.9,DFG,0.5,---,0.5,Aluminium,94.5,107,12.5,1.5,13.22751323,266
June Month 2025,,7.00 X 2.70,7.0,2.7,DFG,0.50-.55,---,0.50-.55,Aluminium,91.1,102.7,11.6,0.8,12.73326015,90
August 2025,,7.00 X 2.70,7.0,2.7,DFG,0.50-.56,---,0.50-.56,Aluminium,75.6,92,16.4,13,21.69312169,192
September Month 2025,9,7.00 X 2.70,7.0,2.7,DFG,0.5,---,0.5,Aluminium,---,191.6,#VALUE!,14.5,#VALUE!,210
July Month 2025,,7.00 X 3.00,7.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,47.5,52.2,4.7,---,9.894736842,139
May Month 2025,7,7.50 X 3.00,7.5,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,38.6,43.3,4.7,---,12.1761658,45
October Month 2025,21,8.00 X 2.20,8.0,2.2,DFG,0.5,---,0.5,Aluminium,349.75,408.6,58.85,2,16.8263045,242
September Month 2025,4,8.00 X 2.50,8.0,2.5,DFG,0.5,---,0.5,Aluminium,29.2,32.4,3.2,---,10.95890411,208
April Month 2025,,8.00 X 3.00,8.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,90.2,101.5,11.3,0.4,12.52771619,4
July Month 2025,,8.00 X 3.00,8.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,47.2,51.8,4.6,0.3,9.745762712,139
August 2025,,8.00 X 3.00,8.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,86.1,93.4,7.3,3.4,8.478513357,159
April Month 2025,,8.00 X 4.00,8.0,4.0,DFG,0.50-.55,---,0.50-.55,Aluminium,92.5,103.3,10.8,0.7,11.67567568,4
June Month 2025,,8.00 X 4.00,8.0,4.0,DFG,0.50-.55,---,0.50-.55,Aluminium,92.1,99.5,7.4,1.3,8.034744843,105
July Month 2025,,8.00 X 4.00,8.0,4.0,DFG,0.50-.55,---,0.50-.55,Aluminium,91.1,103.2,12.1,1.3,13.28210757,119
August 2025,,8.00 X 4.00,8.0,4.0,DFG,0.50-.55,---,0.50-.55,Aluminium,92.5,100.4,7.9,0.9,8.540540541,159
September Month 2025,3,8.30 X 2.80,8.3,2.8,DFG,0.5,---,0.5,Aluminium,102.8,116.7,13.9,1.2,13.52140078,208
October Month 2025,24,8.30 X 2.80,8.3,2.8,DFG,0.5,---,0.5,Aluminium,---,100.5,#VALUE!,---,#VALUE!,266
September Month 2025,17,8.90 X 1.20,8.9,1.2,DFG,0.5,---,0.5,Aluminium,52.55,56.1,3.55,2.25,6.75547098,220
August 2025,,9.00 X 5.00,9.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,191.15,205.1,13.95,1.15,7.29793356,174
June Month 2025,,9.20 X 5.00,9.2,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,96.1,103.8,7.7,1.5,8.012486993,105
August 2025,,9.20 X 5.00,9.2,5.0,DFG,0.50-.57,---,0.50-.57,Aluminium,94.6,105,10.4,1.7,10.99365751,192
August 2025,,10.00 X 2.00,10.0,2.0,DFG,0.50-.55,---,0.50-.55,Aluminium,599.2,732.5,133.3,15.4,22.24632844,164
October Month 2025,22,10.00 X 2.00,10.0,2.0,DFG,0.5,---,0.5,Aluminium,128.5,152.3,23.8,0.5,18.52140078,242
June Month 2025,,10.00 X 2.60,10.0,2.6,DFG,0.50-.55,---,0.50-.55,Aluminium,122.9,132.4,9.5,11.8,7.729861676,105
May Month 2025,8,10.00 X 3.00,10.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,145,165.1,20.1,2,13.86206897,48
June Month 2025,,10.00 X 3.00,10.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,477.7,551.2,73.5,2.85,15.38622566,74
July Month 2025,,10.00 X 3.00,10.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,64.5,72,7.5,0.6,11.62790698,119
July Month 2025,,10.00 X 3.00,10.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,44.6,48.6,4,0.6,8.968609865,139
September Month 2025,20,10.00 X 3.00,10.0,3.0,DFG,0.5,---,0.5,Aluminium,68.6,75.5,6.9,3.1,10.05830904,236
September Month 2025,5,10.00 X 3.50,10.0,3.5,DFG,0.5,---,0.5,Aluminium,120.9,136.3,15.4,1.1,12.73779983,208
October Month 2025,27,10.00 X 3.50,10.0,3.5,DFG,0.5,---,0.5,Aluminium,92.2,104.7,12.5,---,13.55748373,266
April Month 2025,,10.00 X 4.00,10.0,4.0,DFG,0.50-.55,---,0.50-.55,Aluminium,193,212.8,19.8,2,10.25906736,3
July Month 2025,,10.00 X 4.00,10.0,4.0,DFG,0.50-.55,---,0.50-.55,Aluminium,226.3,242.9,16.6,6.3,7.335395493,141
April Month 2025,,10.00 X 5.00,10.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,308.6,332.7,24.1,3,7.809462087,4
July Month 2025,,10.00 X 5.00,10.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,306.7,343.9,37.2,1.5,12.1291164,142
August 2025,,10.00 X 5.00,10.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,750.8,841.2,90.4,12.3,12.04049014,169
April Month 2025,,10.00 X 6.00,10.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,297,312.9,15.9,2.95,5.353535354,3
July Month 2025,,10.00 X 6.00,10.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,272.4,300.1,27.7,4.2,10.16886931,141
August 2025,,10.00 X 6.00,10.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,751.6,809.2,57.6,9.4,7.663650878,179
September Month 2025,1,10.00 X 6.00,10.0,6.0,DFG,0.5,---,0.5,Aluminium,1059.6,1198,138.4,71.7,13.06153265,205/209
October Month 2025,28,10.50 X 3.00,10.5,3.0,DFG,0.5,---,0.5,Aluminium,1368.4,1421.4,53,9.3,3.87313651,274
June Month 2025,,11.55 X 6.10,11.55,6.1,DFG,0.50-.55,---,0.50-.55,Aluminium,720.5,761,40.5,37.3,5.621096461,103
May Month 2025,16,12.00 X 2.50,12.0,2.5,DFG,0.50-.55,---,0.50-.55,Aluminium,170.7,181.7,11,5.8,6.444053896,69
May Month 2025,5,12.00 X 3.00,12.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,149,162.7,13.7,1.3,9.194630872,45
June Month 2025,,12.00 X 3.00,12.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,508.8,580.2,71.4,3.7,14.03301887,98
April Month 2025,,12.00 X 5.00,12.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,657,700.5,43.5,8.8,6.621004566,1
April Month 2025,,12.00 X 5.00,12.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,901.3,982.1,80.8,7.8,8.964828581,23
June Month 2025,,12.00 X 5.00,12.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,136.5,149.2,12.7,0.9,9.304029304,80
July Month 2025,,12.00 X 5.00,12.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,136.1,149.2,13.1,1.5,9.625275533,119
August 2025,,12.00 X 5.00,12.0,5.0,DFG,0.50-.55,---,0.50-.55,Aluminium,136,148.2,12.2,0.3,8.970588235,192
September Month 2025,8,12.00 X 5.00,12.0,5.0,DFG,0.5,---,0.5,Aluminium,---,95.4,#VALUE!,--,#VALUE!,210/217
August 2025,,12.00 X 6.00,12.0,6.0,DFG,0.50-.59,---,0.50-.59,Aluminium,180.2,196.5,16.3,1.4,9.045504994,196
September Month 2025,14,12.00 X 6.00,12.0,6.0,DFG,0.5,---,0.5,Aluminium,306.2,330.4,24.2,4.5,7.903331156,219
October Month 2025,30,12.00 X 6.00,12.0,6.0,DFG,0.5,---,0.5,Aluminium,181.3,196.2,14.9,6.8,8.218422504,275
April Month 2025,00,13.50 X 8.,13.5,8.0,DFG,0.50-.55,---,0.50-.55,Aluminium,1836,1971.2,135.2,10.4,7.363834423,9
May Month 2025,15,13.50 X 8.00,13.5,8.0,DFG,0.50-.55,---,0.50-.55,Aluminium,1839.8,1943.6,103.8,13.4,5.6419176,61
May Month 2025,4,14.00 X 3.00,14.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,517.9,571.6,53.7,3,10.36879707,45
June Month 2025,,14.00 X 6.00,14.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,4177.5,4526.5,349,66,8.354278875,87/94/112
April Month 2025,,14.60 X 4.10,14.6,4.1,DFG,0.50-.55,---,0.50-.55,Aluminium,111,116.9,5.9,1.2,5.315315315,2
July Month 2025,,15.00 X 2.50,15.0,2.5,DFG,0.50-.55,---,0.50-.55,Aluminium,96.4,109.3,12.9,0.4,13.38174274,148
May Month 2025,6,15.00 X 3.00,15.0,3.0,DFG,0.50-.55,---,0.50-.55,Aluminium,50.2,55,4.8,0.8,9.561752988,45
September Month 2025,18,15.00 X 5.00,15.0,5.0,DFG,0.5,---,0.5,Aluminium,106.9,119.6,12.7,3.1,11.88026193,221
April Month 2025,,15.00 X 6.00,15.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,610.1,761.5,151.4,5.4,24.815604,1
April Month 2025,,15.00 X 6.00,15.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,1580,1676.5,96.5,21.1,6.107594937,26
May Month 2025,1,15.00 X 6.00,15.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,1589,1694.5,105.5,12,6.639395846,33
May Month 2025,12,15.00 X 6.00,15.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,240.1,257.3,17.2,2.3,7.163681799,55
June Month 2025,,15.00 X 6.00,15.0,6.0,DFG,0.50-.55,---,0.50-.55,Aluminium,94.7,101.5,6.8,1.7,7.180570222,84
September Month 2025,19,15.00 X 6.00,15.0,6.0,DFG,0.5,---,0.5,Aluminium,111.5,120.2,8.7,2,7.802690583,221
October Month 2025,29,15.00 X 6.00,15.0,6.0,DFG,0.5,---,0.5,Aluminium,126.9,139.3,12.4,10.4,9.771473601,274
