Month,Covering_No,Size,Wire_Value,Wire_Unit,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
May Month 2025,13,5.60 mm,5.60,mm,DFG,0.50-.55,---,0.50-.55,Aluminium,590.8,693.6,102.8,2.2,17.40013541,56
June Month 2025,,5.63 mm,5.63,mm,DFG,0.50-.55,---,0.50-.55,Aluminium,439.3,479.9,40.6,2.7,9.241975871,77
June Month 2025,,8.25 mm,8.25,mm,DFG,0.50-.55,---,0.50-.55,Aluminium,133.1,144.3,11.2,1.3,8.41472577,76
June Month 2025,,8.25 mm,8.25,mm,DFG,0.50-.55,---,0.50-.55,Aluminium,141.4,154.4,13,0.6,9.193776521,76
June Month 2025,,8.40 mm,8.40,mm,DFG,0.50-.55,---,0.50-.55,Aluminium,131,139.6,8.6,1.8,6.564885496,76
June Month 2025,,8.70 mm,8.70,mm,DFG,0.50-.55,---,0.50-.55,Aluminium,115.9,124.6,8.7,1.1,7.506471096,76
August 2025,,3 SWG,3,SWG,DFG,0.50-.55,---,0.50-.55,Aluminium,48.1,54.6,6.5,---,13.51351351,182
August 2025,,9 SWG,9,SWG,DFG,0.50-.55,---,0.50-.55,Aluminium,102.5,130,27.5,,26.82926829,180
August 2025,,9 SWG,9,SWG,DFG,0.50-.55,---,0.50-.55,Aluminium,83.4,102.8,19.4,0.8,23.26139089,191
September Month 2025,11,9 SWG,9,SWG,DFG,0.5,---,0.5,Aluminium,85.05,101.9,16.85,0.65,19.81187537,212
July Month 2025,,10 SWG,10,SWG,DFG,0.50-.55,---,0.50-.55,Aluminium,123.1,158.9,35.8,2.2,29.08204712,151
August 2025,,10 SWG,10,SWG,DFG,0.50-.55,---,0.50-.55,Aluminium,86.5,106.7,20.2,2,23.35260116,180
August 2025,,10 SWG,10,SWG,DFG,0.50-.55,---,0.50-.55,Aluminium,84.5,104.1,19.6,0.7,23.19526627,191
September Month 2025,10,10 SWG,10,SWG,DFG,0.5,---,0.5,Aluminium,83.4,102.3,18.9,1.6,22.6618705,212
