Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
October 2025,,2.90 X 1.30,2.9,1.3,Enamel + DFG,0.1,0.3,0.4,Copper,---,414.8,#VALUE!,---,#VALUE!,276
November 2025,,3.80 X 1.50,3.8,1.5,Enamel + DFG,0.1,0.3,0.4,Copper,127.4,132.4,5,2.1,3.924646782,318
September 2025,,3.80 X 2.00,3.8,2.0,Enamel + DFG,0.1,0.3,0.4,Copper,144.7,154.1,2.25,10.25,6.496199032,237
May 2025,,4.10 X 2.90,4.1,2.9,Enamel + DFG,0.1,0.3,0.4,Copper,164.5,171.1,6.6,7.3,4.012158055,49
May 2025,,4.20 X 1.40,4.2,1.4,Enamel + DFG,0.1,0.3,0.4,Copper,155.4,156.7,1.3,1.5,0.8365508366,67
October 2025,,4.30 X 1.25,4.3,1.25,Enamel + DFG,0.1,0.3,0.4,Copper,145,153.2,8.2,3,5.655172414,257
August 2025,,4.40 X 2.40,4.4,2.4,Enamel + DFG,0.1,0.3,0.4,Copper,170.8,178.5,7.7,2.4,4.508196721,198
November 2025,,4.50 X 1.80,4.5,1.8,Enamel + DFG,0.1,0.3,0.4,Copper,154,159.9,5.9,5.7,3.831168831,287
June 2025,,4.50 X 2.00,4.5,2.0,Enamel + DFG,0.1,0.3,0.4,Copper,165,172.8,7.8,3.5,4.727272727,85
July 2025,,4.50 X 2.00,4.5,2.0,Enamel + DFG,0.1,0.3,0.4,Copper,155.35,172.9,17.55,2.65,11.29707113,121
July 2025,,4.50 X 2.40,4.5,2.4,Enamel + DFG,0.1,0.3,0.4,Copper,164.35,170.8,6.45,16.45,3.924551263,124
May 2025,,4.50 X 2.50,4.5,2.5,Enamel + DFG,0.1,0.3,0.4,Copper,262.4,274.5,12.1,1.8,4.611280488,72
October 2025,,4.70 X 2.30,4.7,2.3,Enamel + DFG,0.1,0.3,0.4,Copper,292,299.6,7.6,3.5,2.602739726,246
May 2025,,4.80 X 1.40,4.8,1.4,Enamel + DFG,0.1,0.3,0.4,Copper,212,221.1,9.1,0.9,4.29245283,37
May 2025,,4.87 X 1.95,4.87,1.95,Enamel + DFG,0.1,0.3,0.4,Copper,14.3,14.5,0.2,---,1.398601399,39
October 2025,,5.00 X 1.30,5.0,1.3,Enamel + DFG,0.1,0.3,0.4,Copper,129.25,133.8,4.55,0.9,3.520309478,258
November 2025,,5.00 X 1.30,5.0,1.3,Enamel + DFG,0.1,0.3,0.4,Copper,105.2,111.1,5.9,4.7,5.608365019,290
October 2025,,5.00 X 2.20,5.0,2.2,Enamel + DFG,0.1,0.3,0.4,Copper,264.05,269,4.95,6.35,1.874644954,249
May 2025,,5.00 X 2.25,5.0,2.25,Enamel + DFG,0.1,0.3,0.4,Copper,272,280.3,8.3,1.5,3.051470588,62
May 2025,,5.30 X 2.50,5.3,2.5,Enamel + DFG,0.1,0.3,0.4,Copper,---,66.1,#VALUE!,2,#VALUE!,68
May 2025,,5.40 X 1.20,5.4,1.2,Enamel + DFG,0.1,0.3,0.4,Copper,123.2,126,2.8,2.8,2.272727273,37
September 2025,,5.50 X 2.00,5.5,2.0,Enamel + DFG,0.1,0.3,0.4,Copper,58.6,61.1,2.5,7.8,4.266211604,216
May 2025,,5.50 X 2.50,5.5,2.5,Enamel + DFG,0.1,0.3,0.4,Copper,80.7,84.2,3.5,3.1,4.337050805,50
September 2025,,5.50 X 2.60,5.5,2.6,Enamel + DFG,0.1,0.3,0.4,Copper,71.6,---,---,,,220
November 2025,,5.60 X 3.60,5.6,3.6,Enamel + DFG,0.1,0.3,0.4,Copper,366.7,375,8.3,10.8,2.263430597,290
November 2025,,5.85 X 2.70,5.85,2.7,Enamel + DFG,0.1,0.3,0.4,Copper,108.2,111.4,3.2,2.8,2.957486137,306
September 2025,,6.20 X 1.20,6.2,1.2,Enamel + DFG,0.1,0.3,0.4,Copper,63.4,70.1,6.7,13.8,10.56782334,240
April 2025,,6.25 X 1.40,6.25,1.4,Enamel + DFG,0.1,0.3,0.4,Copper,91.2,94.4,3.2,---,3.50877193,15
August 2025,,6.30 X 1.30,6.3,1.3,Enamel + DFG,0.1,0.3,0.4,Copper,130.05,139.8,9.75,11.15,7.497116494,197
November 2025,,6.50 X 2.50,6.5,2.5,Enamel + DFG,0.1,0.3,0.4,Copper,---,225.1,#VALUE!,8.1,#VALUE!,286
August 2025,,6.50 X 2.89,6.5,2.89,Enamel + DFG,0.1,0.3,0.4,Copper,243.2,248.2,5,3,2.055921053,187
November 2025,,7.00 X 3.05,7.0,3.05,Enamel + DFG,0.1,0.3,0.4,Copper,66.9,70,3.1,1.1,4.633781764,283
October 2025,,7.02 X 2.49,7.02,2.49,Enamel + DFG,0.1,0.3,0.4,Copper,125.1,130.2,5.1,3.2,4.076738609,263
November 2025,,7.15 X 1.35,7.15,1.35,Enamel + DFG,0.1,0.3,0.4,Copper,110.5,116.6,6.1,6.1,5.520361991,284
June 2025,,8.00 X 1.50,8.0,1.5,Enamel + DFG,0.1,0.3,0.4,Copper,---,464.7,#VALUE!,5,#VALUE!,100
September 2025,,8.90 X 1.20,8.9,1.2,Enamel + DFG,0.1,0.3,0.4,Copper,52.55,56.1,3.55,2.25,6.75547098,220
