Month,Covering_No,Size,Wire_Value,Wire_Unit,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
September 2025,,4 SWG,4,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,55.65,57.5,1.85,---,3.324348607,206
April 2025,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,---,67.3,#VALUE!,---,#VALUE!,13
May 2025,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,65.8,70.7,4.9,2.55,7.446808511,31
September 2025,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,65,67.1,2.1,0.8,3.230769231,206
October 2025,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,65.4,70.9,5.5,0.9,8.409785933,275
June 2020,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,61.2,65.7,4.5,0.8,7.352941176,96
July 2025,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,121.8,1.1,-120.7,1.1,-99.09688013,154
July 2025,,6 SWG,6,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,121.6,130.7,9.1,0.9,7.483552632,137
August 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,59.9,62.7,2.8,0.7,4.674457429,159
September 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,66.4,73.6,7.2,0.2,10.84337349,206
August 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,57.3,61.1,3.8,0.6,6.631762653,162
July 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,59.5,62.7,3.2,0.7,5.378151261,154
October 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,---,67.6,#VALUE!,2.85,#VALUE!,275
June 2020,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,69.1,73.4,4.3,1.1,6.222865412,109
June 2020,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,120.5,128.3,7.8,2.8,6.473029046,83
April 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,68.3,73.5,5.2,0.6,7.613469985,20
May 2025,,7 SWG,7,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,69.5,74.2,4.7,0.9,6.762589928,31
April 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,73.4,83.2,9.8,--,13.35149864,20
July 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,113.9,120.4,6.5,1,5.706760316,154
May 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,55.4,60.2,4.8,2.8,8.664259928,31
August 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,---,60.8,#VALUE!,---,#VALUE!,183
July 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,119.5,129.1,9.6,2.4,8.033472803,123
August 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,60.9,66.1,5.2,1.3,8.538587849,191
September 2025,,8 SWG,8,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,---,135.5,#VALUE!,---,#VALUE!,206
September 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,133.95,142.5,8.55,0.65,6.382978723,239
September 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,218.4,234.2,15.8,1.4,7.234432234,226/234
September 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,108.4,115.7,7.3,0.9,6.734317343,219
September 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,59.95,63.6,3.65,0.45,6.088407006,212
April 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,69.5,75,5.5,,7.913669065,20
July 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,120.2,132.2,12,0.8,9.983361065,123
August 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,114.1,124,9.9,196,8.676599474,196
August 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,115.2,122.7,7.5,1.2,6.510416667,183
August 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,61.1,65.6,4.5,0.9,7.36497545,162
August 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,65,68.4,3.4,0.9,5.230769231,159
May 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,142.5,151.4,8.9,1.95,6.245614035,31
July 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,61,65,4,0.4,6.557377049,154
June 2020,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,126.6,137.6,11,0.5,8.68878357,96
September 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,117.1,131.9,14.8,0.4,12.63877028,206
August 2025,,9 SWG,9,SWG,Poly + Cotton,0.2,0.55,0.75,Copper,120.5,129.3,8.8,2.5,7.302904564,191
