Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
May 2025,6,6.00 X 1.50,6.0,1.5,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,88.5,142.3,53.8,1.1,60.79096045,71
May 2025,3,7.00 X 1.50,7.0,1.5,Poly + Fibre,0.35,0.5,0.85,Aluminium,158,222.7,64.7,1.6,40.94936709,30
April 2025,3,8.00 X 2.00,8.0,2.0,Poly + Fibre,0.35,0.5,0.85,Aluminium,61.7,70.7,9,2.8,14.58670989,28
May 2025,3,10.00 X 3.50,10.0,3.5,Poly + Fibre,0.35,0.5,0.85,Aluminium,356.9,424.4,67.5,4.8,18.91286075,42
June 2025,6,10.00 X 3.75,10.0,3.75,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,773.1,988.2,215.1,17.1,27.82305006,91
September 2025,6,10.00 X 3.75,10.0,3.75,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,377.4,483.2,105.8,3.8,28.03391627,224
October 2025,3,10.00 X 4.00,10.0,4.0,Poly + Fibre,0.35,0.5,0.85,Aluminium,445.2,512.1,66.9,3.5,15.02695418,298
May 2025,6,12.00 X 2.00,12.0,2.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,392.6,450.4,57.8,3.85,14.72236373,71
April 2025,3,12.00 X 3.00,12.0,3.0,Poly + Fibre,0.35,0.5,0.85,Aluminium,79.3,93.3,14,1.15,17.65447667,28
July 2025,6,12.00 X 3.00,12.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,3177.1,4175.5,998.4,57.9,31.42488433,118/135/157
September 2025,6,12.00 X 3.00,12.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,714.2,896.8,182.6,6.8,25.56706805,238
May 2025,6,14.00 X 3.00,14.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,92.2,118,25.8,1,27.98264642,71
September 2025,6,14.00 X 3.00,14.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,64.7,84.9,20.2,1.8,31.22102009,238
April 2025,3,14.00 X 3.50,14.0,3.5,Poly + Fibre,0.35,0.5,0.85,Aluminium,73.3,86.1,12.8,1.2,17.46248295,28
May 2025,6,14.00 X 4.00,14.0,4.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,936.2,1154.5,218.3,7.25,23.31766717,71
July 2025,6,14.00 X 4.00,14.0,4.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,1014.6,1241.1,226.5,15.4,22.3240686,157
August 2025,6,14.00 X 4.00,14.0,4.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,299.5,371.1,71.6,9,23.90651085,177/189
October 2025,3,14.00 X 4.00,14.0,4.0,Poly + Fibre,0.35,0.5,0.85,Aluminium,152.8,176.7,23.9,2.7,15.64136126,252
April 2025,3,14.00 X 4.50,14.0,4.5,Poly + Fibre,0.35,0.5,0.85,Aluminium,77.8,90.3,12.5,2.35,16.06683805,28
July 2025,6,16.00 X 3.00,16.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,2057.1,2833.3,776.2,17.6,37.73273054,111/118/163
August 2025,6,16.00 X 3.00,16.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,---,---,#VALUE!,,,
September 2025,6,16.00 X 3.00,16.0,3.0,Poly + Fibre,0.75-.80,0.55,1.30-.35,Aluminium,499.4,649.9,150.5,7.6,30.1361634,215
October 2025,6,16.00 X 3.00,16.0,3.0,Poly + Fibre,0.85,0.5,1.30-.35,Aluminium,71.6,96,24.4,7.4,34.07821229,278
