Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
August 2025,2,4.90 X 1.50,4.9,1.5,Paper,0.4,---,0.4,Aluminium,21.2,21.8,0.6,0.2,2.830188679,185
August 2025,2,9.35 X 2.80,9.35,2.8,Paper,0.35,---,.3.5,Aluminium,19.8,21.1,1.3,---,6.565656566,165
September 2025,,9.80 X 2.60,9.8,2.6,Poly + Paper,---,---,0.4,Aluminium,354.7,383.5,28.8,,8.119537637,202
August 2025,3,10.00 X 2.50,10.0,2.5,Paper,0.4,---,0.4,Aluminium,348.8,374.6,25.8,4,7.396788991,190
June 2025,3,10.60 X 2.75,10.6,2.75,Paper,0.4,---,0.4,Aluminium,228.7,243.6,14.9,2.4,6.515085265,79
August 2025,3,11.00 X 3.70,11.0,3.7,Paper,0.4,---,0.4,Aluminium,---,23,#VALUE!,---,#VALUE!,165
June 2025,3,11.85 X 3.60,11.85,3.6,Paper,0.4,---,0.4,Aluminium,285.4,291.5,6.1,2.1,2.137351086,79
June 2025,3,11.95 X 3.00,11.95,3.0,Paper,0.4,---,0.4,Aluminium,416.1,427.3,11.2,3.6,2.691660658,97
August 2025,2,13.60 X 3.40,13.6,3.4,Paper,0.35,---,0.35,Aluminium,21.1,21.7,0.6,0.4,2.843601896,184
October 2025,,14.00 X 1.40,14.0,1.4,Poly + Paper,---,---,0.38-.40,Aluminium,590.9,645.7,54.8,3.6,9.273988831,261
November 2025,,14.00 X 2.50,14.0,2.5,Poly + Paper,---,---,0.45,Aluminium,1461.3,1589.1,127.8,4.7,8.745637446,308
