Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
July 2025,,4.00 X 2.50,4.0,2.5,Poly + Paper,1,poly,2,Copper,101.3,106.7,5.4,0.9,5.330700888,134
August 2025,2,4.00 X 2.50,4.0,2.5,Paper,0.35,---,0.35,Copper,69.3,71.1,1.8,0.4,2.597402597,181
September 2025,,4.00 X 2.50,4.0,2.5,Poly + Paper,0.4,---,0.4,Copper,45.6,47.4,1.8,0.3,3.947368421,223
October 2025,,4.00 X 2.50,4.0,2.5,DPC,0.35,---,0.35,Copper,50.1,51.6,1.5,---,2.994011976,259
November 2025,,4.00 X 2.50,4.0,2.5,Poly (TPC),0.45,---,0.45,Copper,---,37.6,---,---,#VALUE!,293
November 2025,,4.00 X 2.50,4.0,2.5,DPC,0.35,---,0.35,Copper,---,66,---,0.5,#VALUE!,315
May 2025,2,4.50 X 2.50,4.5,2.5,Paper,0.35,---,0.35,Copper,36.7,37.7,1,0.5,2.72479564,43
July 2025,2,5.00 X 2.50,5.0,2.5,Paper,0.35,---,0.35,Copper,100.15,105.8,5.65,0.85,5.641537693,126
September 2025,,5.00 X 2.50,5.0,2.5,Poly + Paper,0.4,---,0.4,Copper,69.8,72.6,2.8,0.2,4.011461318,223
October 2025,,5.00 X 2.50,5.0,2.5,DPC,0.35,---,0.35,Copper,36.4,37.4,1,---,2.747252747,259
November 2025,,5.00 X 3.00,5.0,3.0,DPC,0.35,---,0.35,Copper,33.2,34.2,1,0.2,3.012048193,311
September 2025,,6.00 X 1.50,6.0,1.5,Poly + Paper,0.5,---,0.5,Copper,37.1,38.8,1.7,---,4.582210243,207
October 2025,,6.00 X 1.50,6.0,1.5,Poly + Paper,---,---,0.47-.50,Copper,105.3,110.6,5.3,---,5.033238367,259
November 2025,,6.00 X 1.50,6.0,1.5,Poly + Paper,---,---,0.47-.50,Copper,52.3,54.7,2.4,0.2,4.588910134,311
July 2025,,6.00 X 1.60,6.0,1.6,Poly + Paper,1,poly,2,Copper,83.8,85.9,2.1,4.2,2.505966587,145
August 2025,,6.50 X 1.40,6.5,1.4,Poly + Paper,0.4,---,0.4,Copper,210.5,220.9,10.4,1.3,4.940617577,193
July 2025,2,6.50 X 2.45,6.5,2.45,Paper,0.35,---,0.35,Copper,106.45,110.3,3.85,0.75,3.616721465,153
November 2025,,6.60 X 1.50,6.6,1.5,Poly + Paper,---,---,0.37-.40,Copper,35.8,36.9,1.1,0.3,3.072625698,291
July 2025,2,6.80 X 3.00,6.8,3.0,Paper,0.35,---,0.35,Copper,230.4,245,14.6,2.6,6.336805556,125
July 2025,,7.00 X 1.60,7.0,1.6,Poly + Paper,1,poly,2,Copper,80.5,83.3,2.8,0.7,3.47826087,145
August 2025,,7.00 X 1.60,7.0,1.6,Poly + Paper,0.5,---,0.5,Copper,39.6,41.1,1.5,0.7,3.787878788,186
September 2025,,7.00 X 1.60,7.0,1.6,Poly + Paper,0.4,---,0.4,Copper,61.4,63.5,2.1,0.7,3.42019544,223
November 2025,,7.00 X 1.60,7.0,1.6,Poly + Paper,---,---,0.5,Copper,42.7,44.8,2.1,0.2,4.918032787,311
August 2025,3,7.80 X 3.87,7.8,3.87,Paper,0.5,---,0.5,Copper,56.7,58.7,2,---,3.527336861,194
May 2025,3,8.00 X 2.00,8.0,2.0,Paper,0.5,---,0.5,Copper,45.8,46.9,1.1,0.9,2.401746725,65
August 2025,,8.00 X 2.00,8.0,2.0,Poly + Paper,0.5,---,0.5,Copper,95.8,99.7,3.9,1.4,4.070981211,186
October 2025,,8.00 X 2.00,8.0,2.0,Poly + Paper,---,---,0.47-.50,Copper,64.95,67.7,2.75,0.45,4.234026174,241
November 2025,,8.00 X 2.00,8.0,2.0,Poly (TPC),0.45,---,0.45,Copper,---,41.5,---,--,#VALUE!,293
November 2025,,8.00 X 2.00,8.0,2.0,Poly (TPC),0.45,---,0.45,Copper,47,49.6,2.6,---,5.531914894,305
November 2025,,8.00 X 2.40,8.0,2.4,Poly (TPC),0.45,---,0.45,Copper,40.7,42.6,1.9,0.3,4.668304668,293
November 2025,,8.00 X 2.40,8.0,2.4,Poly (TPC),0.45,---,0.45,Copper,40.8,42.2,1.4,0.2,3.431372549,305
July 2025,,8.00 X 2.50,8.0,2.5,Poly + Paper,1,poly,2,Copper,152.4,162.6,10.2,1.8,6.692913386,117
October 2025,,8.00 X 2.50,8.0,2.5,Poly + Paper,---,---,0.47-.50,Copper,160.55,166.3,5.75,0.3,3.581438804,241
October 2025,,8.15 X 2.20,8.15,2.2,Poly + Paper,---,---,0.38-.40,Copper,389,404.9,15.9,1.4,4.087403599,253
May 2025,2,8.20 X 4.30,8.2,4.3,Paper,0.4,---,0.4,Copper,41.7,43,1.3,0.5,3.117505995,54
October 2025,,8.50 X 2.20,8.5,2.2,Poly + Paper,0.3,---,0.3,Copper,164.9,169.3,4.4,0.4,2.668283808,248
August 2025,3,8.75 X 4.50,8.75,4.5,Paper,0.5,---,0.5,Copper,90.1,93.7,3.6,0.8,3.995560488,194
June 2025,3,9.00 X 2.00,9.0,2.0,Paper,0.5,---,0.5,Copper,70,72.2,2.2,0.7,3.142857143,75
August 2025,2,9.00 X 2.62,9.0,2.62,Paper,0.4,---,0.4,Copper,500.1,512.9,12.8,4.2,2.559488102,173
October 2025,,9.00 X 2.90,9.0,2.9,Poly + Paper,---,---,0.37-.40,Copper,54.8,59.3,4.5,---,8.211678832,243
July 2025,,9.00 X 3.00,9.0,3.0,Poly + Paper,1,poly,2,Copper,101.1,107.2,6.1,0.7,6.033630069,114
July 2025,,9.00 X 3.00,9.0,3.0,Poly + Paper,1,poly,2,Copper,53.8,58.2,4.4,1.2,8.178438662,127
July 2025,2,9.00 X 3.00,9.0,3.0,Paper,0.4,---,0.4,Copper,202.1,213.8,11.7,2.6,5.789213261,134
August 2025,2,9.00 X 3.00,9.0,3.0,Paper,0.35,---,0.35,Copper,69.9,72.1,2.2,1.2,3.147353362,166
September 2025,,9.00 X 3.00,9.0,3.0,Poly + Paper,0.5,---,0.5,Copper,248.85,257.7,8.85,1.7,3.556359253,232/241
October 2025,,9.00 X 3.00,9.0,3.0,DPC,0.35,---,0.35,Copper,98.8,101.7,2.9,0.4,2.935222672,259
May 2025,3,9.50 X 2.80,9.5,2.8,Paper,0.5,---,0.5,Copper,44,45.3,1.3,0.7,2.954545455,38
June 2025,3,9.50 X 2.80,9.5,2.8,Paper,0.5,---,0.5,Copper,32.5,33.5,1,0.7,3.076923077,81
November 2025,,9.60 X 2.60,9.6,2.6,Poly + Paper,---,---,0.5,Copper,86,90.9,4.9,0.2,5.697674419,311
August 2025,,9.70 X 2.55,9.7,2.55,Poly + Paper,0.35,---,0.35,Copper,172.1,177.8,5.7,0.9,3.312027891,193
July 2025,,9.80 X 2.50,9.8,2.5,Poly + Paper,1,poly,2,Copper,139.45,151.8,12.35,4.85,8.856220868,126
September 2025,,9.80 X 2.70,9.8,2.7,Poly + Paper,---,---,0.4,Copper,145.2,153,7.8,,5.371900826,203
