Month,Covering_No,Size,Width,Thickness,Type_of_Insulation,Insulation_1,Insulation_2,Total_Insulation,Material,Actual_Bare_Wt_kg,Final_Dis_Qty,Insulation_Wt,Scrap,Insulation_Pct,Invoice_No_GST2526
June 2025,3,4.00 X 2.50,4.0,2.5,Poly,0.35,---,0.35,Aluminium,---,78.5,#VALUE!,---,#VALUE!,99
June 2025,3,4.50 X 1.80,4.5,1.8,Poly,0.45,---,0.45,Aluminium,22,27.3,5.3,---,24.09090909,73
May 2022,3,4.60 X 2.60,4.6,2.6,Poly,0.45,---,0.45,Aluminium,23.5,26.7,3.2,---,13.61702128,44
April 2025,3,5.00 X 2.40,5.0,2.4,Poly,0.35,---,0.35,Aluminium,93.7,99,5.3,0.5,5.656350053,6
April 2025,3,5.00 X 3.00,5.0,3.0,Poly,0.35,---,0.35,Aluminium,71.3,78.4,7.1,0.8,9.957924264,6
May 2022,3,5.00 X 3.00,5.0,3.0,Poly,0.45,---,0.45,Aluminium,23,25.5,2.5,----,10.86956522,44
June 2025,3,5.00 X 3.00,5.0,3.0,Poly,0.35,---,0.35,Aluminium,92.6,101.6,9,0.5,9.719222462,99
June 2025,3,5.40 X 2.60,5.4,2.6,Poly,0.45,---,0.45,Aluminium,24.7,27.5,2.8,0.2,11.33603239,73
June 2025,3,5.40 X 2.60,5.4,2.6,Poly,0.35,---,0.35,Aluminium,46.65,52.5,5.85,0.5,12.54019293,102
June 2025,4,5.40 X 3.00,5.4,3.0,Poly,0.5,---,0.5,Aluminium,---,27.9,#VALUE!,---,#VALUE!,73
June 2025,3,5.40 X 3.00,5.4,3.0,Poly,0.35,---,0.35,Aluminium,17.1,18.4,1.3,---,7.602339181,102
April 2025,3,6.00 X 3.00,6.0,3.0,Poly,0.35,---,0.35,Aluminium,140.7,158.7,18,1.1,12.79317697,6
May 2022,3,6.00 X 3.00,6.0,3.0,Poly,0.45,---,0.45,Aluminium,---,46.3,#VALUE!,----,#VALUE!,36
June 2025,3,6.00 X 3.00,6.0,3.0,Poly,0.45,---,0.45,Aluminium,---,57.2,#VALUE!,---,#VALUE!,73
June 2025,3,6.00 X 3.00,6.0,3.0,Poly,0.35,---,0.35,Aluminium,97.2,103.7,6.5,2.2,6.687242798,99
May 2022,4,6.70 X 3.00,6.7,3.0,Poly,0.45,---,0.45,Aluminium,47,52.8,5.8,0.5,12.34042553,44
June 2025,3,6.70 X 3.00,6.7,3.0,Poly,0.45,---,0.45,Aluminium,24.9,27.5,2.6,0.9,10.44176707,73
April 2025,3,7.00 X 3.00,7.0,3.0,Poly,0.35,---,0.35,Aluminium,72.1,77.7,5.6,---,7.766990291,6
May 2022,3,7.00 X 3.00,7.0,3.0,Poly,0.45,---,0.45,Aluminium,24,27.9,3.9,----,16.25,36
